news_headline,news_article,news_category,full_text,clean_text
Japan hotel offers room for ₹66 to guests ready to livestream their stay,A hotel in Japan named Business Ryokan Asahi is offering one of its rooms for only 100 yen (around ₹66) per night to the guests who agree to have their entire stay live-streamed. The feed is video-only to ensure guests will have privacy in their conversations or phone calls. The hotel room offers a shared bathroom outside the camera's range.,travel,Japan hotel offers room for ₹66 to guests ready to livestream their stay. A hotel in Japan named Business Ryokan Asahi is offering one of its rooms for only 100 yen (around ₹66) per night to the guests who agree to have their entire stay live-streamed. The feed is video-only to ensure guests will have privacy in their conversations or phone calls. The hotel room offers a shared bathroom outside the camera's range.,japan hotel offer room guest ready livestream stay hotel japan name business ryokan asahi offer one room yen around per night guest agree entire stay live streamed feed video ensure guest privacy conversation phone call hotel room offer shared bathroom outside camera range
"UK family books 5-star hotel in Egypt, reaches there to find it wasn't built","A UK family that booked a five-star hotel in Egypt in August reached there to find that it had never been built. The family was shifted to another hotel which was in the process of being demolished. On complaining about the poor facilities there as well, they got accommodation in a third hotel which took £8,000 as holding deposit.",travel,"UK family books 5-star hotel in Egypt, reaches there to find it wasn't built. A UK family that booked a five-star hotel in Egypt in August reached there to find that it had never been built. The family was shifted to another hotel which was in the process of being demolished. On complaining about the poor facilities there as well, they got accommodation in a third hotel which took £8,000 as holding deposit.",uk family book star hotel egypt reach find not build uk family book five star hotel egypt august reach find never build family shift another hotel process demolish complain poor facility well get accommodation third hotel take hold deposit
"IndiGo airline systems down across India, likely to hit operations","The IndiGo airline on Monday said that its systems were down across the entire network and added that it could impact operations across the airports. IndiGo tweeted, ""Our systems are down across the network. We are expecting the counters to be crowded more than usual."" The airline said that efforts were being made to resolve the issue at the earliest.",travel,"IndiGo airline systems down across India, likely to hit operations. The IndiGo airline on Monday said that its systems were down across the entire network and added that it could impact operations across the airports. IndiGo tweeted, ""Our systems are down across the network. We are expecting the counters to be crowded more than usual."" The airline said that efforts were being made to resolve the issue at the earliest.",indigo airline system across india likely hit operation indigo airline monday say system across entire network add could impact operation across airport indigo tweet system across network expect counter crowd usual airline say effort make resolve issue early
Statue of Unity surpasses Statue of Liberty in daily average footfall,"The Statue of Unity in Gujarat has surpassed the footfall at the 133-year-old Statue of Liberty in the US, with an average of over 15,000 tourists visiting the monument daily. It's also a 74% increase in the daily average of the first year of its opening in 2018, authorities said. ""Statue of Liberty...attracts around 10,000 visitors a day,"" they added.",travel,"Statue of Unity surpasses Statue of Liberty in daily average footfall. The Statue of Unity in Gujarat has surpassed the footfall at the 133-year-old Statue of Liberty in the US, with an average of over 15,000 tourists visiting the monument daily. It's also a 74% increase in the daily average of the first year of its opening in 2018, authorities said. ""Statue of Liberty...attracts around 10,000 visitors a day,"" they added.",statue unity surpass statue liberty daily average footfall statue unity gujarat surpass footfall year old statue liberty us average tourist visit monument daily also increase daily average first year opening authority say statue liberty attract around visitor day add
Delhi's Khan Market world's 20th most expensive shopping street: Report,"Delhi's Khan Market is the world's 20th most expensive shopping street, global property consultant Cushman & Wakefield said. In its report 'Main Streets Across the World 2019', the consultant said that Khan Market has an annual rent of $243 (₹17,445) per sq ft. Hong Kong's Causeway Bay retained the top spot with $2,745 (₹1.97 lakh) per sq ft annual rent.",travel,"Delhi's Khan Market world's 20th most expensive shopping street: Report. Delhi's Khan Market is the world's 20th most expensive shopping street, global property consultant Cushman & Wakefield said. In its report 'Main Streets Across the World 2019', the consultant said that Khan Market has an annual rent of $243 (₹17,445) per sq ft. Hong Kong's Causeway Bay retained the top spot with $2,745 (₹1.97 lakh) per sq ft annual rent.",delhi khan market world th expensive shopping street report delhi khan market world th expensive shopping street global property consultant cushman wakefield say report main street across world consultant say khan market annual rent per sq ft hong kong causeway bay retain top spot lakh per sq ft annual rent
7 Indian cities on Top 100 City Destinations list; Delhi ranked 11th,"A UK-based global market research company Euromonitor International has named seven Indian cities in its recent Top 100 City Destinations 2019 report. Delhi features as the 11th city on the list. Other cities include Mumbai at 14th rank, Agra at 26th rank, Chennai ranked 36th, Jaipur at 39th, Kolkata and Bengaluru ranked 76th and 100th respectively.",travel,"7 Indian cities on Top 100 City Destinations list; Delhi ranked 11th. A UK-based global market research company Euromonitor International has named seven Indian cities in its recent Top 100 City Destinations 2019 report. Delhi features as the 11th city on the list. Other cities include Mumbai at 14th rank, Agra at 26th rank, Chennai ranked 36th, Jaipur at 39th, Kolkata and Bengaluru ranked 76th and 100th respectively.",indian city top city destination list delhi rank th uk base global market research company euromonitor international name seven indian city recent top city destination report delhi feature th city list city include mumbai th rank agra th rank chennai rank th jaipur th kolkata bengaluru rank th th respectively
Draft proposal for multi-level aquarium in Mumbai: Maha CM to Tourism Dept,"Maharashtra CM Uddhav Thackeray on Monday ordered the state tourism department to draft a proposal to develop a multi-level aquarium in Mumbai on the lines of Bangkok-based Ocean World, a popular tourist attraction. ""Mumbai is an international city. Tourists will start coming to Mumbai via its international cruise terminal,"" he said. ""We need a multi-level aquarium,"" he added.",travel,"Draft proposal for multi-level aquarium in Mumbai: Maha CM to Tourism Dept. Maharashtra CM Uddhav Thackeray on Monday ordered the state tourism department to draft a proposal to develop a multi-level aquarium in Mumbai on the lines of Bangkok-based Ocean World, a popular tourist attraction. ""Mumbai is an international city. Tourists will start coming to Mumbai via its international cruise terminal,"" he said. ""We need a multi-level aquarium,"" he added.",draft proposal multi level aquarium mumbai maha cm tourism dept maharashtra cm uddhav thackeray monday order state tourism department draft proposal develop multi level aquarium mumbai line bangkok base ocean world popular tourist attraction mumbai international city tourist start come mumbai via international cruise terminal say need multi level aquarium add
We saw double sunrise: Qantas Airways as plane flies for record 19 hrs,"A Qantas Airways plane flew non-stop from London to Sydney for record 19 hours and 19 minutes, with the test flight carrying only around 50 people. ""We saw a double sunrise,"" Qantas CEO Alan Joyce said. The Boeing 787-9 Dreamliner flew across 11 countries, including the Netherlands, Germany, Poland, Belarus, Russia, Kazakhstan, China, Philippines and Indonesia.",travel,"We saw double sunrise: Qantas Airways as plane flies for record 19 hrs. A Qantas Airways plane flew non-stop from London to Sydney for record 19 hours and 19 minutes, with the test flight carrying only around 50 people. ""We saw a double sunrise,"" Qantas CEO Alan Joyce said. The Boeing 787-9 Dreamliner flew across 11 countries, including the Netherlands, Germany, Poland, Belarus, Russia, Kazakhstan, China, Philippines and Indonesia.",see double sunrise qanta airway plane fly record hrs qantas airway plane fly non stop london sydney record hour minute test flight carry around people see double sunrise qanta ceo alan joyce say boee dreamliner fly across country include netherland germany poland belarus russia kazakhstan china philippine indonesia
Indians to no longer require visas to visit Brazil,Brazilian President Jair Bolsonaro on Thursday said that the country will drop its requirement that visiting Chinese and Indian tourists or businesspeople obtain visas. Bolsonaro has made it a policy to reduce visa requirements from a number of developed countries. The announcement is the first he has made expanding that policy to the developing world.,travel,Indians to no longer require visas to visit Brazil. Brazilian President Jair Bolsonaro on Thursday said that the country will drop its requirement that visiting Chinese and Indian tourists or businesspeople obtain visas. Bolsonaro has made it a policy to reduce visa requirements from a number of developed countries. The announcement is the first he has made expanding that policy to the developing world.,indian no longer require visa visit brazil brazilian president jair bolsonaro thursday say country drop requirement visit chinese indian tourist businesspeople obtain visa bolsonaro make policy reduce visa requirement number develop country announcement first make expand policy develop world
Mandatory registration for outsiders staying in Meghalaya for over 24hrs,"Meghalaya Cabinet has approved an ordinance that requires people, who aren't residents of Meghalaya and intend to stay for more than 24 hours in the state, to register by furnishing their documents to the government. The act is for people interested in visiting Meghalaya for tourism, business, education and other purposes. It'll be regularised in the next Assembly session. ",travel,"Mandatory registration for outsiders staying in Meghalaya for over 24hrs. Meghalaya Cabinet has approved an ordinance that requires people, who aren't residents of Meghalaya and intend to stay for more than 24 hours in the state, to register by furnishing their documents to the government. The act is for people interested in visiting Meghalaya for tourism, business, education and other purposes. It'll be regularised in the next Assembly session. ",mandatory registration outsider stay meghalaya hrs meghalaya cabinet approve ordinance require people not resident meghalaya intend stay hour state register furnish document government act people interested visit meghalaya tourism business education purpose regularise next assembly session
